Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1665619200000,2022-10-13,WAVESUSDT,3.494,3.501,3.128,3.358,4286816.326,14078279.465966,56686
1665532800000,2022-10-12,WAVESUSDT,3.498,3.533,3.477,3.495,1016467.25,3564625.42665,15426
1665446400000,2022-10-11,WAVESUSDT,3.518,3.559,3.414,3.499,2095118.22,7327764.65202,28182
1665360000000,2022-10-10,WAVESUSDT,3.752,3.792,3.47,3.519,1940550.09,7075583.44772,23811
1665273600000,2022-10-09,WAVESUSDT,3.74,3.772,3.704,3.752,878461.77,3287717.24011,11395
1665187200000,2022-10-08,WAVESUSDT,3.798,3.818,3.715,3.74,858728.5,3247016.52111,10890
1665100800000,2022-10-07,WAVESUSDT,3.789,3.819,3.689,3.797,1647015.62,6205433.42684,19775
1665014400000,2022-10-06,WAVESUSDT,3.817,3.964,3.761,3.79,2355521.0,9044437.34811,27869
1664928000000,2022-10-05,WAVESUSDT,3.854,3.862,3.741,3.816,1352833.17,5141593.05333,16103
1664841600000,2022-10-04,WAVESUSDT,3.771,3.882,3.77,3.854,1716563.32,6567912.33779,20305
1664755200000,2022-10-03,WAVESUSDT,3.697,3.805,3.659,3.77,1301418.57,4868895.29409,17480
1664668800000,2022-10-02,WAVESUSDT,3.794,3.823,3.671,3.698,1483794.05,5566931.52203,19613
1664582400000,2022-10-01,WAVESUSDT,3.82,3.84,3.776,3.796,863389.52,3290008.03733,11089
1664496000000,2022-09-30,WAVESUSDT,3.862,3.904,3.788,3.822,1972907.2,7583880.92588,23479
1664409600000,2022-09-29,WAVESUSDT,3.846,3.872,3.766,3.862,1717982.69,6562595.29834,19661
1664323200000,2022-09-28,WAVESUSDT,3.876,3.898,3.691,3.846,2134963.96,8148263.62372,25817
1664236800000,2022-09-27,WAVESUSDT,3.911,4.046,3.809,3.876,2904423.08,11504344.69114,35064
1664150400000,2022-09-26,WAVESUSDT,3.892,3.927,3.777,3.911,2254478.32,8724598.08493,28084
1664064000000,2022-09-25,WAVESUSDT,3.938,3.999,3.844,3.894,1288920.44,5078412.19085,16278
