Unix,Date,Symbol,Open,High,Low,Close,Volume HOT,Volume USDT,tradecount
1621036800000,2021-05-15,HOTUSDT,0.011845,0.011953,0.0107,0.010849,4449377676.0,50099053.234181,150315
1620950400000,2021-05-14,HOTUSDT,0.011247,0.0125,0.011079,0.011847,6699215666.0,78860757.299802,220037
1620864000000,2021-05-13,HOTUSDT,0.010561,0.01195,0.010001,0.01125,9222464546.0,101843844.5647392,263782
1620777600000,2021-05-12,HOTUSDT,0.01303,0.01353,0.010516,0.010559,7263619991.0,89301749.450081,229178
1620691200000,2021-05-11,HOTUSDT,0.012673,0.0135,0.012143,0.01303,6622600035.0,85018260.066819,222042
1620604800000,2021-05-10,HOTUSDT,0.01442,0.014886,0.011147,0.012672,9775969260.0,130937842.583574,344225
1620518400000,2021-05-09,HOTUSDT,0.01477,0.014894,0.01371,0.01442,6929675405.0,99314035.447029,271974
1620432000000,2021-05-08,HOTUSDT,0.015222,0.016,0.01461,0.01477,6823508865.0,103664348.016042,241694
1620345600000,2021-05-07,HOTUSDT,0.014985,0.01684,0.014549,0.015233,16165191491.0,252435860.293352,555186
1620259200000,2021-05-06,HOTUSDT,0.014775,0.015766,0.014255,0.014982,10668815222.0,159822661.833509,355776
1620172800000,2021-05-05,HOTUSDT,0.013525,0.016196,0.013371,0.014775,12621011661.0,188030005.75371,445263
1620086400000,2021-05-04,HOTUSDT,0.015296,0.015315,0.013115,0.013525,11062626526.0,156831609.475971,398278
1620000000000,2021-05-03,HOTUSDT,0.015527,0.016225,0.0145,0.01529,7914874541.0,123800195.434141,338302
1619913600000,2021-05-02,HOTUSDT,0.016198,0.016279,0.014876,0.015528,6105633237.0,95249023.140916,231521
1619827200000,2021-05-01,HOTUSDT,0.016072,0.016992,0.015574,0.016197,8774410043.0,142704427.39033,342640
1619740800000,2021-04-30,HOTUSDT,0.015385,0.016327,0.01506,0.016071,8256593993.0,130173332.767645,302894
1619654400000,2021-04-29,HOTUSDT,0.015852,0.016429,0.01476,0.015375,8746368455.0,136445841.514756,297592
1619568000000,2021-04-28,HOTUSDT,0.016477,0.01736,0.014275,0.015843,18077859179.0,285015946.733392,604510
1619481600000,2021-04-27,HOTUSDT,0.014054,0.017677,0.013521,0.016473,25149930140.999996,407785887.4397164,821417
1619395200000,2021-04-26,HOTUSDT,0.011749,0.0144,0.011583,0.014055,17619714050.0,234259642.2471035,498835
1619308800000,2021-04-25,HOTUSDT,0.0120997,0.0131484,0.010512,0.011748,11312795332.0,135855530.8146301,308068
1619222400000,2021-04-24,HOTUSDT,0.0128004,0.0154,0.0117267,0.0120997,26485249140.999996,351869190.83580565,609885
1619136000000,2021-04-23,HOTUSDT,0.0127073,0.0138,0.0088,0.0128001,30656502858.0,353954209.4689718,696545
1619049600000,2021-04-22,HOTUSDT,0.0149,0.0154775,0.0115623,0.0127212,13939113536.0,196735138.599226,382813
1618963200000,2021-04-21,HOTUSDT,0.0160744,0.0170959,0.0147122,0.0149,8281340189.0,132369534.1853026,296108
1618876800000,2021-04-20,HOTUSDT,0.0157688,0.0179579,0.0138,0.0160758,14192691086.0,226854529.3591614,492229
1618790400000,2021-04-19,HOTUSDT,0.01706,0.0184945,0.0155054,0.0157814,10882681909.0,184427881.2643272,412887
1618704000000,2021-04-18,HOTUSDT,0.0188259,0.0191,0.0135011,0.0170608,13384929859.0,226278779.8311794,614151
1618617600000,2021-04-17,HOTUSDT,0.019003,0.0216062,0.0185327,0.0188709,20437039239.0,405911939.65401167,818854
1618531200000,2021-04-16,HOTUSDT,0.018577,0.020676,0.017,0.0190209,19991502894.0,373126883.51155245,799153
1618444800000,2021-04-15,HOTUSDT,0.0175701,0.0214071,0.0171759,0.0185614,21964859419.0,431944480.0419652,919421
1618358400000,2021-04-14,HOTUSDT,0.0187151,0.0190339,0.0162217,0.01757,12094141823.0,215175724.56272992,542402
1618272000000,2021-04-13,HOTUSDT,0.0187987,0.01985,0.0182853,0.0187208,11048458595.0,208968041.9735413,449111
1618185600000,2021-04-12,HOTUSDT,0.0197457,0.021965,0.0186697,0.0187987,14035959456.0,283235032.090076,590178
1618099200000,2021-04-11,HOTUSDT,0.0191342,0.0226,0.0172868,0.0197457,28104002876.0,552817360.2070469,1087123
1618012800000,2021-04-10,HOTUSDT,0.0209396,0.021706,0.017726,0.0191341,22063445219.0,437728985.94289273,890880
1617926400000,2021-04-09,HOTUSDT,0.0231342,0.0237,0.0204222,0.0209399,9916452819.0,219386120.8817239,445163
1617840000000,2021-04-08,HOTUSDT,0.0204701,0.0247,0.0203114,0.0231061,16808459633.0,383791934.0393188,755977
1617753600000,2021-04-07,HOTUSDT,0.022735,0.0238481,0.0192,0.0204695,28585644946.0,613669185.5758686,1177120
1617667200000,2021-04-06,HOTUSDT,0.0285997,0.0287614,0.0191555,0.0227351,36670927247.0,882896631.4251033,1539192
1617580800000,2021-04-05,HOTUSDT,0.0272295,0.0316,0.0254415,0.0285997,29770407200.999996,848277881.7300851,1363844
1617494400000,2021-04-04,HOTUSDT,0.0231018,0.02981,0.0223905,0.0272443,38522651697.0,1038746067.785016,1588238
1617408000000,2021-04-03,HOTUSDT,0.024255,0.028,0.021562,0.0230732,44172024724.0,1096195699.029654,1799060
1617321600000,2021-04-02,HOTUSDT,0.0173532,0.0244,0.0170625,0.0242549,36532487551.0,762011880.1975234,1270205
